books named, Grammar Books, important materials, Gutenberg Project, Text Mining, English, English Grammar, unstructured data, Century English, Books
optimal tradeoff, losslessly retrieve, Retrieval Private, single file, Private, multiple servers, Tradeoff, protocols guarantee, Information Retrieval, Private information
information retrieve, Semantic, intelligent information, development direction, Research Based, Semantic Retrieval, Algorithm Research, Retrieval Algorithm, technology occupies, Ontology Semantic
increases significantly, web increases, document ontology, ontology, Nowadays, system based, information retrieval, web, documents, ontology Nowadays
navigation map, Semantic, retrieval, retrieve semantically, Semantic information, information retrieval, medical resources, recent years, great interest, Construction
Services Intelligent, Lookup Protocol, VANET, Lookup, attracted significant, Two-Tier VANET, Intelligent transportation, Information Retrieval, recent years, significant attention
Retrieval, web search, Key, Key Phrases, queries, community user, Web, Question Retrieval, Multiple Languages, key concepts
big challenge, multi-modality ontology, ontology, Enhancing sports, contents represents, retrieval, sports image, ontology Extracting, Extracting knowledge, represents recently
Intelligent Information, Intelligent, Systems, Retrieval Systems, Soft Computing, core data, search, Information Retrieval, web, web mining
enterprise unstructured, unstructured information, Enterprise, Corpora, Retrieval, lifecycle management, EIM, management, Technology Creation, information
system, Web data, Dempster-Shafer theory, data tables, valuation assigns, t-norm system, Retrieval Logic, data, Web, incorporating uncertainty
code units, Linux Kernel, Empirical Study, Retrieval, find code, software maintenance, Information Retrieval, etc., employ Information, Concern Localization
taxonomy based, Improving access, information resources, Teknologi MARA, digital information, knowledge taxonomy, study aims, academic leadership, substantial amount, Universiti Teknologi
Private Information, Side, desired class, Pliable Private, Retrieval, user, Private, Information Retrieval, Single-Server Pliable, Pliable
Expansion Based, Query Expansion, Deep Learning, Deep, low retrieval, words, extended words, retrieval efficiency, method, Query
Content-Based Image, Visual, scalable Content-Based, document analysis, Neural Network, Medical image, analysis, Image Retrieval, Visual Features, Image
retrieval Query, language modeling, study, modeling approach, query, proved effective, information retrieval, empirical study, expansion technique, query expansion
source sequence, Statistical DSM, Statistical Dictionary-Based, Matching Problem, Dictionary-Based String, String Matching, DSM, DSM problem, Information Retrieval, posting table
Malay Haditli, mobile, handheld devices, Recent, Haditli text, Retrieving Malay, application Recent, Recent rapid, information retrieval, rapid advances
Relevant Feedback, Intelligent Retrieval, Retrieval, Capturing User, provide vast, User Intention, social systems, rapid growth, Personalized Websites, Feedback Based
processing technology, Natural Language, Answering System, Language, Natural, Language Processing, Optimizing Method, Question Answering, artificial intelligence, fundamentally promote
Search Engine, Space, Retrieval, Search, Vector Space, Document Search, Information Retrieval, Space Model, current pandemic, Model
product, improve effectively, identification ability, classification, agricultural product, ontology, technology based, product information, information technology, searching field
Hamming space, list decoding, introduce t-revealing, t-revealing codes, Improved codes, information retrieval, binary Hamming, codes, list, Levenshtein channel
web-based tools, cloud, document management, required information, Cloud computing, cloud storage, based document, storage Cloud, Concept based, information services
study describes, crawler applied, distributed crawler, Retrieval, master-slave distributed, systems, Internet Information, Information Retrieval, preliminary research, Internet
Thai Herbs, Health Information, called Thai, Cross-Language Information, Thai traditional, Thai, Modern Medicine, Modern, Information Retrieval, increasing number
Petroleum, System, System Based, Based, Web Scraping, Web, Information Retrieval, Petroleum Information, framework SCRAPY, Retrieval System
geographic information, information, integrated framework, retrieving, web pages, address, analyzing, framework, web, geographic
based, concepts, Ontology, rich internal, technique, structure, retrieval, concepts Ontology, information retrieval, internal structure
missing data, retrieving items, uncertainty, problem, retrieval, data, retrieval application, information retrieval, paper, uncertainty representations
management systems, System Based, paper presents, Relevance Criteria, library management, Extensible Relevance, Information Retrieval, search quality, Retrieval System, Text Similarity
retrieval model, audio information, Audio Retrieval, Ranking, Based, Audio, Manifold, model based, Manifold Ranking, paper proposes
Survey, Music, diverse aspects, Future Challenges, Music Information, Information Processing, processing tasks, studies exploit, capture diverse, recent studies
thesaurus, System, Hadith, query, Islamic religion, Hadith Retrieval, Indonesian Hadith, Islamic, Retrieval System, query expansion
inherently poses, poses biasness, judged documents, Retrieval Systems, Rankings Information, Systems Rankings, rank, Information retrieval, Systems, rank reliability
measurement model, Graduate students, Information seeking, model, Research, Behaviour Model, seeking behaviour, seeking, model Graduate, Research Information
Language Resources, Retrieval, NLP Tools, Natural Language, Experimental Study, Semantic Information, Comparative Experimental, NLP, Information Retrieval, Arabic
Xpath, Retrieval Technology, XML, XML full-text, XML Document, Keyword Retrieval, general user, commercial database, XQuery, Technology Research
Holy Quran, modern methodologies, Quran, unique technique, advanced learning, technique influenced, learning implemented, paper aims, Set Generation, Data Set
