English Grammar Books, English, English words, Century English grammar, Gutenberg Project, Grammar Books, English learning, Century English, named English, books named, Grammar, books named English
accurately and efficiently, Factorization-based, problem of accurately, bandwidth-constrained information retrieval, image features, mobile device, image, images captured, efficiently querying, Non-negative Matrix Factorization, Matrix Factorization-based clustering, querying a remote
biodiversity databases environment, information retrieval, interprets the data, distributed biodiversity databases, information retrieval mechanisms, resources of GARUDA, prototype biodiversity information, redirects the user, biodiversity information retrieval, Database Management Systems, distributed Grid-Cloud resources, GARUDA Grid project
Information Age, aiding the educationists, information systems, industry skills Managing, information systems curriculum, Industry skills frameworks, Information Systems Management, techniques to map, Skills Framework, skills Managing, industry skills, skills
Machine Learning, Information Retrieval Text, commercial potential due, Document Using Machine, Text Document, unstructured text data, extract the structured, Machine Learning Models, Retrieval Text mining, Performance Evaluation, high commercial potential, text data produced
collected during Disaster, Disaster Situations, including social, current events including, resources for current, significant resources, events including social, identified as significant, applied for retrieving, political and emergency, Disaster Situations Microblogging, emergency cases
Locating buggy files, time consuming, consuming and challenging, structured information retrieval, challenging task, large variety, version history, history Locating buggy, defects can deflate, version history Locating, task because defects, Locating buggy
surrounding the query, Visual Query Context, query image, exploits the information, Object, query object, Query Context Object, query object captured, Retrieval, Context Object retrieval, SIFT image features, Object Retrieval
non-structured free text, structural information extraction, network information retrieval, structural information, precisely and uniformly, data more efficiently, Facing tremendous volume, extraction Facing, semi-structured XML, information extraction Facing, network information, extraction Facing tremendous
Information Science, Areas in Research, annual conference, Information, Overview of Scientific, major RCIS areas, Science, RCIS, Research Challenges, Challenges, Challenges in Information, Research
Technology Intermediary Service, users to obtain, rapid development, Intelligent Question, Internet, Intelligent Question Answering, increases information overload, Knowledge Graph Construction, facilitates users, Question Answering, Answering on Science, Graph Construction
query multiple information, ranked results list, merges ranked results, information, query multiple, Retrieval System, Choquet Integral, multiple information retrieval, retrieval, Fuzzy aggregation, merges ranked, Information Retrieval System
information retrieval, question answering, Source Word Vector, Source Word, Open Source, Word Vector Corpus, obtain synonyms efficiently, Open Source Word, Obtain Synonyms, Synonyms, Word Vector, information services
tremendous growth, mobile, web, mobile computing, snippet clustering methods, mobile computing system, retrieval methods, computational capabilities, mobile information retrieval, methods In recent, recent years, mobile web
users' information, important element, cliques as query, information retrieval model, Integrating cliques, model Query, information, Studies have found, retrieval model Query, query context, context, query
Software for cheerleading, On-Site Score Processing, based on Distributed, Data Retrieval On-site, Data Retrieval, Score Processing Software, cheerleading projects based, Distributed Architecture, On-Site Score, Retrieval On-site score, projects based, Score Processing
