data and structured information, books named English, Books, Gutenberg Project, Grammar, grammar books are important, Century English grammar books, materials for English learning, important materials, unstructured data and structured, order to systematically analyze, themes and trends
Traditional Probabilistic Information Retrieval, document length, bag of words, based on the assumption, models, Traditional, Search beyond Traditional Probabilistic, Information Retrieval models, query terms are independent, assumption that query terms, Verbosity and Scope hypotheses, Retrieval models are based
availability of computing facilities, intelligent decision making, Dataset for Developing Expert, implication of Information Retrieval, High Dimensional Dataset, large amount, electronic form, Preprocessing of High Dimensional, data, High, Developing Expert IR System, Expert
language on the basis, Lexicon-free stemming for Kazakh, Kazakh language, considered existing, paper are considered, paper, information retrieval In paper, set of endings, number of natural, synthesizing a normal, normal form, existing algorithms for automatically
Web because the simple, method for the Web, process a large, prominent data retrieval method, large amount of information, retrieval query interface, Web, information with fast response, search, ontology based ranking, keyword processing, simple and efficient nature
Limits, user are investigated, PIRC, Limits of Private Information, Private, basic PIR, Fundamental Limits of Private, achieves the capacity, Unknown Cache Prefetching, Retrieval With Unknown Cache, prefetching at the user, Information Retrieval
Engines Systems, Case, popular, Information, Retrieval, Search Engines, explores the structure, research investigates information retrieval, Study, Retrieval of Distributed Databases, Databases A Case Study, regular web search
significant influence brought, fast-growing number, amount, information is extraordinarily increasing, Cyber, understand the relevant knowledge, amount of cybersecurity-related information, Pragmatics Understanding and Visualization, increasing, Cyber Information Retrieval, Retrieval Through Pragmatics Understanding, efficiently obtain and precisely
Systems, linking, data, Learning for Information Management, Machine, vital step, investigates the significant, AutoML, Overvie Recently, understanding and utilization, Automated Machine Learning, trend
Big Data Processing Technology, information in the reference, combined with big, System Based on multi, eigenvalue to calculate, Technology in Power Marketing, retrieval model for audio, Application of Big Data, model for audio frequency, Power Marketing System Based, multi data fusion, paper introduces a retrieval
task performance, university library database resources, satisfaction of university library, User, significant impact, retrieval, provide design optimization suggestions, Database, information retrieval experience, Controls and User Characteristics, library digital resource information, Form Controls
Emergency Medicine Context, Applying Natural Language Processing, Machine Learning, Context, responsible for providing, Medical, Decision Support, application of logistics techniques, Information Retrieval and Machine, providing appropriate resources, logistics techniques to emergency, Medicine Context The Medical
Big, Music, Big Data Storage, Music Information Big Data, choice for people, Internet, recommendation system develop rapidly, progress of Internet technology, people to listen, Key Technologies, Data, Technologies of Music Information
Dynamic Library, Semantic Web, Big, Enhancing information retrieval, Enhancing, Sharing Ancient Wisdoms, stored or archived, retrieval, data, Web, Web technologies aids data, resource discovery
Geospatial web service, information extraction and sharing, web, wide variety of consumers, operational, Building, wide, Building robust geospatial web, variety, agricultural information, services, robust
