named English, books named English, Century English, English learning, Grammar, Century English grammar, books named, Grammar Books, English, Gutenberg Project, English words, English Grammar Books
Section on Mass, Retrieval, Mass, Data, Data Retrieval, Storage, Storage and Data, Mass Storage, Section, Prolog
Traditional Information Retrieval, matching of keywords, information retrieval Traditional, exact matching, information, retrieval, retrieval Traditional Information, Traditional Information, retrieval Traditional, enhanced term frequency, Arabic information, information retrieval
Information, Inter-Event Information, Retrieval Distributed estimation, Inter-Event Information Retrieval, attracted great attention, Distributed, attracted great, great attention, Estimation, Distributed Estimation, formulate and solve, Information Retrieval Distributed
genetic approach, search query prior, retrieval The major, Genetic Algorithm, major problem, Query paraphrasing, intelligent information retrieval, query prior submitting, intelligent information, search engine, approach for intelligent, information retrieval
Information, scientific research domain, Information cartography based, domain which generates, current systems, overload in current, scientific, scientific papers, research domain, challenged the traditional, cartography based, mitigate information overload
approaches incorporating clustering, incorporating clustering Classification, clustering Classification, Bat Algorithm, approaches incorporating, central problem, Bee Colony Optimization, Classification, Colony Optimization Algorithm, documents using evolutionary, evolutionary approaches incorporating, evolutionary approaches
improved personalized, DSMN, Improved DSSM Due, Information Retrieval Algorithm, retrieval algorithm DSMN, improved personalized information, DSSM Due, Personalized Information Retrieval, Due to rarely, algorithm DSMN, Information Retrieval, semantic matching algorithms
Information Retrieval Model, Memory Network Information, speed and volume, efforts to automate, media have motivated, misinformation spreads, spreads on social, social media, motivated efforts, stance detection, memory network model, Network Information Retrieval
recent years, area has grown, number of innovative, online request, E-Government system, grown tremendously, E-Government service, Natural Language Processing, encourage citizens, E-Government, innovative research topics, tremendously to bridge
information, relative relevance, distributed information retrieval, user, retrieval, distributed information, retrieval Relevance, retrieval domain, collaborative relevance, information retrieval domain, interesting topics, relevance
Cross Language Information, Cross Language, Retrieval Cross Language, Multilingual CLIR based, retrieving relevant documents, Retrieval Cross, CLIR, Text Pre-Processing Methods, Language Information Retrieval, Language, CLIR systems, Information Retrieval Cross
Arteries, Linguistic Approach, recent years, Semantic Techniques, Modeling of Coronary, medical, image data, Image Retrieval, Image, Approach to Modeling, constant part, Coronary Arteries
IRS, nowadays information retrieval, query, Current expectations, ontologies as queries, information retrieval Current, user, retrieval Current, considered common sense, retrieval Current expectations, common sense, intended meaning
Information, users to apply, Retrieval, System Multilingual Information, Multilingual Information Retrieval, Multilingual, Precision oriented metrics, Retrieval System Multilingual, System Multilingual, Information Retrieval System, Retrieval System, apply query
Business Administration, Administration and College, Information seeking, Information Technology, Dubai, seeking behavior, University of Dubai, students of College, Technology, Information seeking behavior, College of Business, College
XML, moving towards structuring, Information, structured documents, educational structured documents, taking into consideration, structured, documents, increasingly moving, Information retrieval, structured educational documents, XML and ontology
Earthmovers Distance Based, digital format, language processing techniques, natural language processing, Based KNN, recent rise, unstructured textual data, Proposal for Earthmovers, Document Retrieval, natural language, Distance Based KNN, Based KNN Classification
Improve Query Expansion, Query Reformulation, electronic medical records, EMR, Chinese EMR Retrieval, EMR Retrieval, expansion terms, Query Expansion, Chinese EMR, Combining Query Reformulation, achieved significant performance, Query
