Grammar Books, English Grammar Books, named English, order to systematically, adopted to study, English learning, English Grammar, Century English, Century English grammar, named English Grammar, important materials, English, books named English, Gutenberg Project, Text Mining, books named, unstructured data, Grammar, Books, English words
combines Fuzzy Logic, paper presents, traffic light controller, Genetic Algorithms, Conventional traffic controller, Fuzzy Logic-Genetic Algorithm, traffic light, combines Fuzzy, Fuzzy Logic, algorithm, traffic light system, traffic, Fuzzy Logic Controller, Hybrid algorithm, system, Fuzzy, Logic-Genetic Algorithm, Fuzzy Logic-Genetic, logic FLC Controller, Controller
Parafoil path tracking, tracking control precision, path tracking, rescue materials, lateral tracking error, Parafoil path, GPC controller, Parafoil, path tracking control, tracking control based, control strategy based, materials were air-dropped, emergency situation, GPC, Generalized Predictive Control, tracking control, key technology, GPC parameters self-correction, set point, tracking control strategy
Logic, focused on application, irrigation control system, Efficient, Autonomous Irrigation System, Irrigation, Autonomous Irrigation, Irrigation System, automatic irrigation system, Fuzzy Logic, control system, Water, automatic irrigation, control, System, paper is focused, Autonomous, Fuzzy, System for Efficient, fuzzy logic system
Interval, fuzzy, logic system, parameter adaptation, logic, dynamic parameter, benchmark optimization problems, Harmony search algorithm, dynamic parameter adaptation, algorithm, search algorithm, Harmony, search, fuzzy harmony search, optimization problems, dynamic, adaptation, fuzzy logic, Harmony search, fuzzy logic system
Series, important time, Series Forecasting Time, predict important time, Series Forecasting, Normalization and Uniform, Uniform Regularization, Fuzzy Logic, Batch Normalization, Logic System, Time series data, series data, Time Series Forecasting, Forecasting Time series, Logic System Based, important time series, Time Series, Fuzzy Logic System, series forecasting task, System Based
conventional constant gain, induction motor, controller based high, load torque, research study, high performance direct, induction motor drive, performance direct torque, fuzzy logic speed, flux controlled, flux controlled induction, constant gain PI-speed, controlled induction, motor drive, load torque disturbances, direct torque, controlled induction motor, conventional PISC offers, gain PI-speed controller, logic speed controller
Interval, Logic, Fundamental Differences, lot of research, research attention, type-reduced interval, recently been attracting, Fuzzy Logic, Differences, Controllers, Logic Controllers, Controllers Interval, attracting a lot, Fuzzy, fuzzy sets, Logic Controllers Interval, FLC, FLCs, Fuzzy Logic Controllers, Fundamental
Control Approach, Early Detection, Random Early, important and greatest, Weighted Random Early, challenge facing, Fuzzy Logic, Congestion Control Approach, facing the transmission, Logic System, Congestion Control, Approach Based, network congestion occurs, Logic System Congestion, greatest challenge, greatest challenge facing, Fuzzy Logic System, Weighted Random, Control Approach Based, Random Early Detection
Natural Mating Intensification, demand for beef, sulfuric acid based, Artificial Insemination, Cow, Indonesia is increasing, Cow Urine, Fuzzy Logic, consumption in Indonesia, sulfuric acid, Urine, Pregnancy, cow pregnancy detection, Mating Intensification, sulfuric, Natural Mating, Volume, beef consumption, Cow Pregnancy, Cow Pregnancy Based
fuzzy, method, fuzzy inference, functional inference, fuzzy inference method, paper proposes, sets, fuzzy functional inference, paper, extends fuzzy, functional inference method, inference, functional, antecedent parts, extends fuzzy sets, fuzzy sets, Model, fuzzy functional, models, inference method
play an important, storage systems, storage, multiple hydrogen storage, important role, hydrogen storage based, combined fuzzy logic, hybrid storage systems, future smart cities, long-term storage system, storage systems operation, Hydrogen storage, smart cities, Hydrogen storage system, future smart, two-dimension modeling Hydrogen, storage system operates, modeling Hydrogen storage, Hydrogen, role in future
Reduced Alcohol Intake, Fuzzy Inference System, RAI model, Reduced Alcohol, Fuzzy Inference, improved academic performance, model-based Fuzzy Control, Control System, Fuzzy Logic, Alcohol Intake, RAI logic model, Fuzzy Control System, System, logic model, Fuzzy, Mamdani Fuzzy, Fuzzy Logic Progression, Fuzzy Logic System, Fuzzy Control, Mamdani Fuzzy Inference
control mechanism, Logic, Fuzzy Logic Fuzzy, mechanism in robotics, Food Serving Robot, robot platform, Teaching, Fuzzy Logic, Learning, Food Serving, Robot, Teaching and Learning, emerging control, Fuzzy, Serving Robot, Learning Platform, emerging control mechanism, Logic Fuzzy Logic, fuzzy rules, Logic Fuzzy
multi-agent based control, free download, Logic, based toolkit, Java, Logic Systems, cloud based deployments, Fuzzy Logic, paper we introduce, zSlices based, Java based toolkit, logic research community, Fuzzy Logic Systems, logic research, toolkit, fuzzy logic research, Fuzzy, based, Java based, introduce a Java
Probabilistic Uncertainty, Natural Logic, standard fuzzy linguistic, Logic, Fuzzy Systems, Uncertainty, Probabilistic, Systems, Systems in Fuzzy, Integrating the Probabilistic, Fuzzy Natural Logic, fuzzy linguistic description, probabilistic fuzzy linguistic, standard fuzzy, probabilistic fuzzy, linguistic description, Fuzzy, Natural, Fuzzy Natural, fuzzy linguistic
implementation for industrial, logic controller design, linguistic control, applications Fuzzy, utilize fuzzy logic, expert knowledge, automatic control strategy, Fuzzy logic, industrial applications Fuzzy, linguistic control strategy, Fuzzy logic controller, control strategy based, utilize fuzzy, convert the linguistic, control strategy, automatic control, strategy based, applications Fuzzy logic, logic controller, industrial applications
robot manipulator, traditional fuzzy logic, fuzzy, controller, logic, fuzzy logic controller, object control, manipulator, nonlinear object, object, Type, control, nonlinear object control, nonlinear, control object, control quality, robot, presented, fuzzy logic, logic controller
fuzzy logic controllers, network, based interval, controllers, fuzzy, logic control, logic, neural network based, interval, network based fuzzy, network based interval, network based, adaptive neural, based fuzzy, fuzzy logic control, fuzzy logic, adaptive neural network, based fuzzy logic, neural, neural network
multiple fuzzy logic, fuzzy, logic, fuzzy logic artificial, World Soccer Tournament, intelligence, level MIMO fuzzy, multiple fuzzy, fuzzy logic block, MIMO fuzzy logic, artificial, system Fuzzy Logic, valued logic, system, robot, robot system, fuzzy logic, artificial intelligence, pure fuzzy logic, multiple
fuzzy, effectively modeled, logic, laboratory rat Real, fuzzy logic representation, rat Real, world problems, Moving, real-world data, rat Real world, information, Real, neutrosophic logic, fuzzy models, Moving towards neutrosophic, neutrosophic, fuzzy logic, laboratory rat, Real world problems, Real world
water aquaculture based, simulation approach Eel, Dissolved Oxygen, Design control system, migrate into freshwater, species that born, Fuzzy Logic, based simulation, based Fuzzy Logic, Anguilla, aquaculture based Fuzzy, MATLAB based simulation, based simulation approach, born in saltwater, eel fish, catadromous fish species, simulation approach, MATLAB based, Anguilla spp., approach Eel fish
process, classification, set, Fuzzy logic Data, discovering useful patterns, Fuzzy logic, admission, mining, algorithm, data, large information, process of discovering, Fuzzy, data mining classifies, large set, fuzzy rules, Data mining, large information processing, large, logic Data mining
MANET, Mobile Ad hoc, fuzzy, Cluster Head selection, logic, Mobile, MANET Routing, Routing Protocols, Routing protocols play, logic approach, MANET Routing Protocols, Comparative Analysis, Routing, fixed infrastructure, Protocols, self-organizing and dynamic, Cluster Head, fuzzy logic, mobile nodes, fuzzy logic approach
interval type-II fuzzy, Logic Control Design, Type-II Fuzzy, Variable Universe, Two-Wheeled Self-Balancing Robot, Variable Universe Type-II, fuzzy logic controller, Googol two-wheeled, universe interval type-II, Universe Type-II Fuzzy, Fuzzy Logic, variable universe interval, Control Design, linear parameter varying, parameter varying technique, Type-II Fuzzy Logic, Googol two-wheeled self-balancing, Fuzzy Logic Control, logic controller, type-II fuzzy method
based on interval, edge detection methods, detection based, sobel filtering, process required, complex image processing, processing and recognition, conventional edge detection, sobel filtering Edge, edge, edge detection based, filtering Edge detection, primitive process, recognition task, edge detection, edge detection techniques, detection, primitive process required, fuzzy logic, filtering Edge
Interval, detection method, color edge detection, method, Edge, detection method based, color images, based on Interval, color image edge, method based, image edge detection, images, proposed method, Edge detection, improve the efficiency, Edge detection method, detection, order to improve, color, fuzzy systems
Interval, Logic, Based on Interval, Based, Buck, Converter Based, Controller Buck converter, DC-DC converter, Converter, Buck Converter Based, Fuzzy Logic, fuzzy logic toolbox, Fuzzy Logic Controller, Logic Controller, serves to lower, Fuzzy, Buck Converter, Logic Controller Buck, Controller Buck, Controller
rule-based system embedded, fuzzy, company risk problems, estimation Different kinds, decision makers, risks caused, rule-based system, embedded with fuzzy, risk level, company, company risk, system embedded, risk, difficult to assess, risk factors, risk estimation, fuzzy logic, face are difficult, company risk level, risks systematically
electric, paper presents, Fuzzy logic implementation, fuzzy, predicting electric loads, power distribution, logic, difference between planning, distribution networks, applying fuzzy, load, fuzzy logic rules, applying fuzzy logic, power distribution networks, loads, presents the difference, electrical power distribution, electric loads, fuzzy logic, electrical distribution network
matrix, conditional statements, associative matrix, Mini’ fuzzy, FAM table, fuzzy associative, Design, fuzzy inputs, inputs, Mini’, table, controller analyzes, inference engine, Fuzzy, FAM, Mini’ fuzzy associative, processing or inference, IF-THEN conditional statements, fuzzy associative matrix, analyzes and evaluates
fuzzy risk set, Decision Support, Expert, Systems, Control Systems, Systems and Medical, decision making, Decision Support Systems, Fuzzy risk, Medical Expert Systems, Medical Expert, Support, Medical, Expert Systems, Support Systems, system, decision, Fuzzy, Fuzzy Certainty Factor, Control
